image,object_id,object_type,gt_width_mm,gt_height_mm
eval_001.jpg,1,card,85.6,53.98
eval_001.jpg,2,book,75,75
eval_002.jpg,1,card,85.6,53.98
eval_002.jpg,2,book,57,50
eval_003.jpg,1,card,85.6,53.98
eval_003.jpg,2,book,55,50
eval_004.jpg,1,card,85.6,53.98
eval_004.jpg,2,book,103,17
eval_005.jpg,1,card,85.6,53.98
eval_005.jpg,2,book,92,35
eval_006.jpg,1,card,85.6,53.98
eval_006.jpg,2,book,30,30
eval_007.jpg,1,card,85.6,53.98
eval_007.jpg,2,book,98,34
eval_008.jpg,1,card,85.6,53.98
eval_008.jpg,2,book,57,52
eval_009.jpg,1,card,85.6,53.98
eval_009.jpg,2,book,48,42
eval_010.jpg,1,card,85.6,53.98
eval_010.jpg,2,book,92,65
eval_011.jpg,1,card,85.6,53.98
eval_011.jpg,2,book,138,107
eval_012.jpg,1,card,85.6,53.98
eval_012.jpg,2,book,89,35
eval_013.jpg,1,card,85.6,53.98
eval_013.jpg,2,book,96,49
eval_014.jpg,1,card,85.6,53.98
eval_014.jpg,2,book,98,71
eval_015.jpg,1,card,85.6,53.98
eval_015.jpg,2,book,121,17
eval_016.jpg,1,card,85.6,53.98
eval_016.jpg,2,book,95,22
eval_017.jpg,1,card,85.6,53.98
eval_017.jpg,2,book,88,19
eval_018.jpg,1,card,85.6,53.98
eval_018.jpg,2,book,88,19
eval_019.jpg,1,card,85.6,53.98
eval_019.jpg,2,book,96,23
eval_020.jpg,1,card,85.6,53.98
eval_020.jpg,2,book,93,17
eval_021.jpg,1,card,85.6,53.98
eval_021.jpg,2,book,55,43
eval_022.jpg,1,card,85.6,53.98
eval_022.jpg,2,book,60,28
eval_023.jpg,1,card,85.6,53.98
eval_023.jpg,2,book,76,21
eval_024.jpg,1,card,85.6,53.98
eval_024.jpg,2,book,115,43
eval_025.jpg,1,card,85.6,53.98
eval_025.jpg,2,book,120,80
eval_026.jpg,1,card,85.6,53.98
eval_026.jpg,2,book,33,53
eval_027.jpg,1,card,85.6,53.98
eval_027.jpg,2,book,44,54
eval_028.jpg,1,card,85.6,53.98
eval_028.jpg,2,book,65,30
eval_029.jpg,1,card,85.6,53.98
eval_029.jpg,2,book,123,77
eval_030.jpg,1,card,85.6,53.98
eval_030.jpg,2,book,100,50
eval_031.jpg,1,card,85.6,53.98
eval_031.jpg,2,book,65,53
eval_032.jpg,1,card,85.6,53.98
eval_032.jpg,2,book,60,37
eval_033.jpg,1,card,85.6,53.98
eval_033.jpg,2,book,88,63
eval_034.jpg,1,card,85.6,53.98
eval_034.jpg,2,book,144,19
eval_035.jpg,1,card,85.6,53.98
eval_035.jpg,2,book,60,60
eval_036.jpg,1,card,85.6,53.98
eval_036.jpg,2,book,45,37
eval_037.jpg,1,card,85.6,53.98
eval_037.jpg,2,book,75,60
eval_038.jpg,1,card,85.6,53.98
eval_038.jpg,2,book,120,97
eval_039.jpg,1,card,85.6,53.98
eval_039.jpg,2,book,51,51
eval_040.jpg,1,card,85.6,53.98
eval_040.jpg,2,book,94,24
eval_041.jpg,1,card,85.6,53.98
eval_041.jpg,2,book,55,36
eval_042.jpg,1,card,85.6,53.98
eval_042.jpg,2,book,30,22
eval_043.jpg,1,card,85.6,53.98
eval_043.jpg,2,book,32,30
eval_044.jpg,1,card,85.6,53.98
eval_044.jpg,2,book,119,110
eval_045.jpg,1,card,85.6,53.98
eval_045.jpg,2,book,165,30
eval_046.jpg,1,card,85.6,53.98
eval_046.jpg,2,book,150,92
eval_047.jpg,1,card,85.6,53.98
eval_047.jpg,2,book,132,45
eval_048.jpg,1,card,85.6,53.98
eval_048.jpg,2,book,54,54
eval_049.jpg,1,card,85.6,53.98
eval_049.jpg,2,book,84,55
eval_050.jpg,1,card,85.6,53.98
eval_050.jpg,2,book,56,50
eval_051.jpg,1,battery_aa,50.5,14.5
eval_051.jpg,2,book,62,42
eval_052.jpg,1,battery_aa,50.5,14.5
eval_052.jpg,2,book,60,27
eval_053.jpg,1,battery_aa,50.5,14.5
eval_053.jpg,2,book,51,31
eval_054.jpg,1,battery_aa,50.5,14.5
eval_054.jpg,2,book,72,46
eval_055.jpg,1,battery_aa,50.5,14.5
eval_055.jpg,2,book,32,25
eval_056.jpg,1,battery_aa,50.5,14.5
eval_056.jpg,2,book,85,40
eval_057.jpg,1,battery_aa,50.5,14.5
eval_057.jpg,2,book,95,75
eval_058.jpg,1,battery_aa,50.5,14.5
eval_058.jpg,2,book,50,38
eval_059.jpg,1,battery_aa,50.5,14.5
eval_059.jpg,2,book,79,55
eval_060.jpg,1,battery_aa,50.5,14.5
eval_060.jpg,2,book,71,62
eval_061.jpg,1,battery_aa,50.5,14.5
eval_061.jpg,2,book,78,67
eval_062.jpg,1,battery_aa,50.5,14.5
eval_062.jpg,2,book,99,38
eval_063.jpg,1,battery_aa,50.5,14.5
eval_063.jpg,2,book,76,29
eval_064.jpg,1,battery_aa,50.5,14.5
eval_064.jpg,2,book,111,95
eval_065.jpg,1,battery_aa,50.5,14.5
eval_065.jpg,2,book,80,59
eval_066.jpg,1,battery_aa,50.5,14.5
eval_066.jpg,2,book,75,41
eval_067.jpg,1,battery_aa,50.5,14.5
eval_067.jpg,2,book,146,25
eval_068.jpg,1,battery_aa,50.5,14.5
eval_068.jpg,2,book,72,19
eval_069.jpg,1,battery_aa,50.5,14.5
eval_069.jpg,2,book,109,59
eval_070.jpg,1,battery_aa,50.5,14.5
eval_070.jpg,2,book,42,26
eval_071.jpg,1,battery_aa,50.5,14.5
eval_071.jpg,2,book,105,85
eval_072.jpg,1,battery_aa,50.5,14.5
eval_072.jpg,2,book,120,76
eval_073.jpg,1,battery_aa,50.5,14.5
eval_073.jpg,2,book,100,40
eval_074.jpg,1,battery_aa,50.5,14.5
eval_074.jpg,2,book,117,35
eval_075.jpg,1,battery_aa,50.5,14.5
eval_075.jpg,2,book,154,37
eval_076.jpg,1,battery_aa,50.5,14.5
eval_076.jpg,2,book,75,65
eval_077.jpg,1,battery_aa,50.5,14.5
eval_077.jpg,2,book,100,71
eval_078.jpg,1,battery_aa,50.5,14.5
eval_078.jpg,2,book,119,80
eval_079.jpg,1,battery_aa,50.5,14.5
eval_079.jpg,2,book,142,71
eval_080.jpg,1,battery_aa,50.5,14.5
eval_080.jpg,2,book,117,20
eval_081.jpg,1,battery_aa,50.5,14.5
eval_081.jpg,2,book,60,47
eval_082.jpg,1,battery_aa,50.5,14.5
eval_082.jpg,2,book,60,47
eval_083.jpg,1,battery_aa,50.5,14.5
eval_083.jpg,2,book,82,20
eval_084.jpg,1,battery_aa,50.5,14.5
eval_084.jpg,2,book,73,25
eval_085.jpg,1,battery_aa,50.5,14.5
eval_085.jpg,2,book,44,44
eval_086.jpg,1,battery_aa,50.5,14.5
eval_086.jpg,2,book,72,19
eval_087.jpg,1,battery_aa,50.5,14.5
eval_087.jpg,2,book,50,20
eval_088.jpg,1,battery_aa,50.5,14.5
eval_088.jpg,2,book,123,89
eval_089.jpg,1,battery_aa,50.5,14.5
eval_089.jpg,2,book,87,87
eval_090.jpg,1,battery_aa,50.5,14.5
eval_090.jpg,2,book,74,38
eval_091.jpg,1,battery_aa,50.5,14.5
eval_091.jpg,2,book,85,54
eval_092.jpg,1,battery_aa,50.5,14.5
eval_092.jpg,2,book,75,57
eval_093.jpg,1,battery_aa,50.5,14.5
eval_093.jpg,2,book,129,92
