epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.09885,1.38296,0.225,1,1.54199,0.00015,0.00015,0.00015
2,8.24297,1.10545,0.275,1,1.74889,0.000307344,0.000307344,0.000307344
3,12.295,0.75757,0.4,1,1.67142,0.000459325,0.000459325,0.000459325
4,16.3095,0.53201,0.45,1,1.90238,0.000605944,0.000605944,0.000605944
5,20.2398,0.33867,0.475,1,1.80517,0.0007472,0.0007472,0.0007472
6,24.1393,0.28642,0.575,1,1.51138,0.000883094,0.000883094,0.000883094
7,27.9808,0.17303,0.525,1,1.81692,0.00101362,0.00101362,0.00101362
8,31.8128,0.12923,0.5,1,2.39282,0.00110563,0.00110563,0.00110563
9,35.677,0.18048,0.65,1,1.49355,0.001085,0.001085,0.001085
10,39.5612,0.16959,0.7,1,0.94345,0.00106437,0.00106437,0.00106437
11,43.3994,0.14763,0.8,1,0.56798,0.00104375,0.00104375,0.00104375
12,47.2109,0.13215,0.625,1,1.31967,0.00102312,0.00102312,0.00102312
13,51.0346,0.09137,0.55,1,2.50258,0.0010025,0.0010025,0.0010025
14,54.9326,0.11506,0.7,1,1.5138,0.000981875,0.000981875,0.000981875
15,58.757,0.09325,0.625,1,2.08704,0.00096125,0.00096125,0.00096125
16,62.6266,0.13369,0.575,1,2.98851,0.000940625,0.000940625,0.000940625
17,66.4611,0.09559,0.575,1,1.98779,0.00092,0.00092,0.00092
18,70.3117,0.10651,0.575,1,1.88514,0.000899375,0.000899375,0.000899375
19,74.1053,0.08317,0.625,1,1.89713,0.00087875,0.00087875,0.00087875
20,77.9331,0.06159,0.6,1,2.09323,0.000858125,0.000858125,0.000858125
21,81.8509,0.05128,0.65,1,2.05086,0.0008375,0.0008375,0.0008375
22,85.7517,0.0732,0.6,1,2.14697,0.000816875,0.000816875,0.000816875
23,89.6662,0.06294,0.625,1,2.24473,0.00079625,0.00079625,0.00079625
24,93.5999,0.0463,0.6,1,2.33174,0.000775625,0.000775625,0.000775625
25,97.4292,0.05761,0.6,1,2.46467,0.000755,0.000755,0.000755
26,101.301,0.06826,0.675,1,1.70294,0.000734375,0.000734375,0.000734375
27,105.119,0.05782,0.725,1,1.46885,0.00071375,0.00071375,0.00071375
28,108.988,0.05744,0.625,1,1.74748,0.000693125,0.000693125,0.000693125
29,112.819,0.04047,0.6,1,1.85056,0.0006725,0.0006725,0.0006725
30,116.713,0.0616,0.65,1,1.71464,0.000651875,0.000651875,0.000651875
31,120.534,0.0477,0.675,1,1.61623,0.00063125,0.00063125,0.00063125
