epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.049,0.85871,2.1273,1.25532,0.82359,0.68766,0.827,0.68187,0.67894,1.73087,1.12931,0.00066242,0.00066242,0.00066242
2,343.19,0.99497,1.66054,1.38192,0.69077,0.64341,0.73694,0.58085,0.85979,2.36562,1.34652,0.00130277,0.00130277,0.00130277
3,505.986,1.02624,1.52219,1.38674,0.64557,0.72093,0.72107,0.51035,0.91689,1.77154,1.40748,0.00191672,0.00191672,0.00191672
4,681.534,1.02311,1.39284,1.36796,0.78532,0.82235,0.89013,0.75495,0.7,1.04458,1.20434,0.0018812,0.0018812,0.0018812
5,865.951,0.98125,1.29522,1.33372,0.86488,0.5969,0.72363,0.55723,1.03904,1.60881,1.50331,0.0018416,0.0018416,0.0018416
6,1037.61,0.95642,1.1846,1.31195,0.91664,0.71318,0.86583,0.69324,0.79413,1.06088,1.27305,0.001802,0.001802,0.001802
7,1223.9,0.94691,1.13587,1.30515,0.83597,0.82965,0.91226,0.74346,0.63173,0.94733,1.09216,0.0017624,0.0017624,0.0017624
8,1411.18,0.88109,1.03794,1.27264,0.91865,0.83721,0.91611,0.77805,0.61398,0.83363,1.08513,0.0017228,0.0017228,0.0017228
9,162.345,0.91562,1.24122,1.26219,0.88718,0.85343,0.93962,0.80162,0.56179,0.8515,1.05175,0.0016832,0.0016832,0.0016832
10,386.412,0.88991,1.03368,1.28811,0.86552,0.74839,0.8329,0.6903,0.66678,1.04917,1.18542,0.0016436,0.0016436,0.0016436
11,160.942,0.79553,1.00264,1.18482,0.90607,0.86822,0.95188,0.78754,0.64312,0.74748,1.10079,0.001604,0.001604,0.001604
12,319.296,0.78539,0.86617,1.20321,0.87613,0.87731,0.92539,0.79584,0.59761,0.69431,1.07332,0.0015644,0.0015644,0.0015644
13,475.998,0.78931,0.9075,1.19609,0.8313,0.84041,0.91629,0.75628,0.61869,0.76265,1.08078,0.0015248,0.0015248,0.0015248
14,633.508,0.79412,0.87617,1.20585,0.85387,0.86061,0.94535,0.83366,0.51912,0.64757,0.99927,0.0014852,0.0014852,0.0014852
15,788.645,0.76055,0.86953,1.18003,0.95706,0.86393,0.95224,0.81455,0.57141,0.6356,1.08727,0.0014456,0.0014456,0.0014456
16,946.181,0.74409,0.77989,1.14989,0.85188,0.86822,0.91227,0.77417,0.58437,0.76973,1.08101,0.001406,0.001406,0.001406
17,1112.51,0.73833,0.79262,1.16172,0.90642,0.86822,0.95281,0.80319,0.61209,0.62879,1.08531,0.0013664,0.0013664,0.0013664
18,1294.55,0.71961,0.74821,1.15685,0.94775,0.8437,0.95623,0.84109,0.49729,0.65566,1.02014,0.0013268,0.0013268,0.0013268
19,156.266,0.6697,0.82484,1.09379,0.98257,0.87391,0.97268,0.87097,0.47698,0.50442,0.97908,0.0012872,0.0012872,0.0012872
20,306.151,0.67278,0.70882,1.12856,0.95161,0.83721,0.93679,0.83367,0.49043,0.63741,0.99574,0.0012476,0.0012476,0.0012476
21,454.472,0.65211,0.68639,1.09859,0.95883,0.90262,0.97163,0.84417,0.53157,0.51285,1.04233,0.001208,0.001208,0.001208
22,606.251,0.65732,0.67628,1.11267,0.95809,0.88617,0.96932,0.85852,0.5084,0.5365,1.02069,0.0011684,0.0011684,0.0011684
23,757.97,0.64935,0.68556,1.1033,0.91835,0.9591,0.97224,0.85272,0.50507,0.51125,1.02765,0.0011288,0.0011288,0.0011288
24,908.444,0.59653,0.60611,1.06379,0.97253,0.89147,0.976,0.86889,0.50221,0.49562,1.01375,0.0010892,0.0010892,0.0010892
25,1058.96,0.60949,0.63009,1.0794,0.92253,0.89147,0.96579,0.85947,0.4769,0.52947,0.97319,0.0010496,0.0010496,0.0010496
26,1209.93,0.61203,0.58551,1.0892,0.98293,0.89283,0.98321,0.8719,0.47842,0.44598,0.98886,0.00101,0.00101,0.00101
27,1359.98,0.66538,0.67788,1.10742,0.95127,0.90798,0.98014,0.87399,0.45922,0.43792,0.98122,0.0009704,0.0009704,0.0009704
28,1514.74,0.65288,0.66029,1.11238,0.96643,0.93798,0.98463,0.87959,0.46073,0.46282,0.97909,0.0009308,0.0009308,0.0009308
29,157.525,0.57294,0.60047,1.03595,0.90904,0.93023,0.97263,0.88584,0.46265,0.50166,0.95656,0.0008912,0.0008912,0.0008912
30,319.731,0.56865,0.54831,1.06434,0.93022,0.93009,0.96535,0.86486,0.46171,0.46765,0.97305,0.0008516,0.0008516,0.0008516
31,481.043,0.55036,0.53481,1.03664,0.98235,0.93023,0.98337,0.87528,0.4786,0.45242,0.9747,0.000812,0.000812,0.000812
32,642.57,0.55327,0.54133,1.04991,0.9513,0.93023,0.97857,0.88007,0.45168,0.42626,0.99339,0.0007724,0.0007724,0.0007724
33,803.219,0.54873,0.54072,1.03628,0.97316,0.93023,0.98487,0.88661,0.45396,0.41581,0.97167,0.0007328,0.0007328,0.0007328
34,963.974,0.52187,0.49234,1.01216,0.98144,0.91473,0.98325,0.88308,0.5013,0.40046,1.01036,0.0006932,0.0006932,0.0006932
35,1125.04,0.51891,0.50236,1.02274,0.95343,0.95229,0.97921,0.88629,0.44935,0.39612,0.97575,0.0006536,0.0006536,0.0006536
36,1285.13,0.51572,0.48541,1.02861,0.97416,0.92248,0.982,0.88127,0.47591,0.40979,0.97192,0.000614,0.000614,0.000614
37,1446.18,0.54393,0.52716,1.03512,0.96749,0.9228,0.98423,0.86544,0.46445,0.38424,0.97407,0.0005744,0.0005744,0.0005744
38,1605.65,0.53181,0.50338,1.02783,1,0.90677,0.98273,0.85998,0.48903,0.41293,0.98318,0.0005348,0.0005348,0.0005348
39,1766.63,0.59592,0.564,1.07431,0.96118,0.93798,0.98398,0.90484,0.41198,0.36067,0.93839,0.0004952,0.0004952,0.0004952
40,1927.71,0.57297,0.54793,1.05842,0.98131,0.93798,0.98264,0.90155,0.43404,0.37349,0.94979,0.0004556,0.0004556,0.0004556
