epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.065,0.82311,2.47878,1.29999,0.55507,0.60847,0.65178,0.50019,0.78073,2.62981,1.35928,0.000472227,0.000472227,0.000472227
2,282.571,0.84544,1.87704,1.30934,0.45492,0.63889,0.51703,0.33273,1.05315,3.17766,1.75447,0.000935145,0.000935145,0.000935145
3,404.635,0.89283,1.74078,1.32544,0.59363,0.62963,0.61599,0.42095,1.0185,3.16159,1.666,0.00138459,0.00138459,0.00138459
4,525.995,0.87441,1.68263,1.31907,0.45475,0.65191,0.50474,0.29252,1.26401,2.83804,1.91838,0.00136837,0.00136837,0.00136837
5,644.075,0.96222,1.64976,1.39433,0.77874,0.62434,0.73383,0.5345,0.97275,2.45916,1.53394,0.00134816,0.00134816,0.00134816
6,855.419,0.88533,1.40373,1.31923,0.74309,0.62566,0.7218,0.52894,0.91145,2.3945,1.55085,0.00132795,0.00132795,0.00132795
7,1081.5,0.87594,1.37794,1.29274,0.631,0.64525,0.63234,0.40619,1.22571,2.20258,1.87828,0.00130774,0.00130774,0.00130774
8,1288.01,0.85327,1.30423,1.28855,0.83444,0.69905,0.85717,0.62269,0.93466,1.58264,1.47541,0.00128753,0.00128753,0.00128753
9,1514.4,0.8656,1.25441,1.32795,0.83281,0.76455,0.84806,0.64315,0.92833,1.48004,1.47099,0.00126732,0.00126732,0.00126732
10,1737.88,0.79433,1.20733,1.26227,0.6908,0.83454,0.83937,0.57674,1.04666,1.62955,1.60353,0.00124711,0.00124711,0.00124711
11,1962.87,0.80482,1.19567,1.25171,0.718,0.87037,0.87479,0.57833,1.0322,1.37873,1.54101,0.0012269,0.0012269,0.0012269
12,2187.1,0.78034,1.09543,1.25448,0.89726,0.75397,0.88351,0.66889,0.89668,1.21979,1.43794,0.00120669,0.00120669,0.00120669
13,2411.38,0.77088,1.05178,1.23541,0.8372,0.82485,0.92138,0.74505,0.72938,1.15118,1.26838,0.00118648,0.00118648,0.00118648
14,2637.13,0.7653,1.02692,1.22063,0.93749,0.89218,0.96337,0.75567,0.73978,1.00696,1.30837,0.00116627,0.00116627,0.00116627
15,2862.08,0.73131,0.96708,1.19854,0.93285,0.86596,0.95587,0.75697,0.74862,0.99242,1.31252,0.00114606,0.00114606,0.00114606
16,17424.1,0.77488,0.9487,1.21743,0.90277,0.80159,0.93347,0.72939,0.74544,0.9772,1.32757,0.00112585,0.00112585,0.00112585
17,17535.1,0.74367,0.91135,1.21402,0.93362,0.86508,0.95569,0.79339,0.64014,0.8519,1.20931,0.00110564,0.00110564,0.00110564
18,17648.9,0.73467,0.97784,1.19798,0.93056,0.81481,0.94115,0.7404,0.72373,0.92092,1.27997,0.00108543,0.00108543,0.00108543
19,18242.2,0.6877,0.89479,1.1677,0.88738,0.92435,0.95595,0.76349,0.7157,0.8779,1.26292,0.00106522,0.00106522,0.00106522
20,18360.9,0.68886,0.83982,1.1775,0.93299,0.8542,0.93895,0.75619,0.73507,0.87564,1.26209,0.00104501,0.00104501,0.00104501
21,18487.3,0.65907,0.79186,1.14842,0.95318,0.88782,0.9543,0.76506,0.65709,0.75468,1.2108,0.0010248,0.0010248,0.0010248
22,19019.2,0.68614,0.79254,1.17227,0.91205,0.79584,0.93386,0.75227,0.71708,0.90346,1.24267,0.00100459,0.00100459,0.00100459
23,19145.6,0.66311,0.82342,1.15792,0.87681,0.93814,0.95578,0.79111,0.63006,0.66881,1.15791,0.000984377,0.000984377,0.000984377
24,19279.5,0.66304,0.78294,1.14998,0.90038,0.94989,0.96908,0.80698,0.67124,0.66905,1.22237,0.000964167,0.000964167,0.000964167
25,19409.3,0.66148,0.74541,1.16076,0.92915,0.88889,0.94756,0.72797,0.73388,0.82761,1.28234,0.000943957,0.000943957,0.000943957
26,19524.3,0.6385,0.75755,1.12641,0.95311,0.89364,0.9591,0.81187,0.61649,0.69485,1.16403,0.000923746,0.000923746,0.000923746
27,19640.3,0.64623,0.75206,1.14719,0.9186,0.9418,0.95606,0.76026,0.68398,0.74906,1.24634,0.000903536,0.000903536,0.000903536
28,19753.9,0.6191,0.71678,1.13562,0.94706,0.87963,0.95508,0.78298,0.63699,0.7198,1.17924,0.000883326,0.000883326,0.000883326
29,19868.8,0.61915,0.71044,1.1344,0.95763,0.92603,0.97241,0.80732,0.59646,0.62511,1.14716,0.000863116,0.000863116,0.000863116
30,19983,0.62209,0.72017,1.11518,0.88776,0.98347,0.98309,0.82874,0.59428,0.5687,1.12813,0.000842906,0.000842906,0.000842906
31,20099.9,0.61396,0.67223,1.11991,0.97714,0.93671,0.97911,0.80816,0.59414,0.59091,1.15549,0.000822696,0.000822696,0.000822696
32,20219,0.58638,0.67212,1.10693,0.98208,0.93651,0.97955,0.83876,0.56849,0.54937,1.13741,0.000802486,0.000802486,0.000802486
33,20332,0.59911,0.6535,1.12419,0.96582,0.89815,0.96627,0.82405,0.58711,0.62207,1.14895,0.000782275,0.000782275,0.000782275
34,20451.4,0.60205,0.64923,1.12503,0.95707,0.92971,0.97921,0.83132,0.60482,0.54983,1.14191,0.000762065,0.000762065,0.000762065
35,20567.2,0.59143,0.63296,1.11131,0.95908,0.94195,0.9753,0.83385,0.57368,0.5716,1.10564,0.000741855,0.000741855,0.000741855
36,20756.4,0.5976,0.64299,1.10655,0.96454,0.92196,0.97682,0.82164,0.57498,0.56892,1.11384,0.000721645,0.000721645,0.000721645
